Month,area,regional,networksite,Availability (Ave)
Jan-25,AREA1,REGIONAL1,NOP ACEH,98.52881969587254
Jan-25,AREA1,REGIONAL1,NOP BINJAI,99.43379958246346
Jan-25,AREA1,REGIONAL1,NOP MEDAN,99.6506819763396
Jan-25,AREA1,REGIONAL1,NOP PADANG SIDEMPUAN,98.4536712328767
Jan-25,AREA1,REGIONAL1,NOP PEMATANG SIANTAR,98.84785420944559
Jan-25,AREA1,REGIONAL1,NOP RANTAU PRAPAT,98.33497267759563
Jan-25,AREA1,REGIONAL10,NOP BATAM,97.27067107750472
Jan-25,AREA1,REGIONAL10,NOP BUKITTINGGI,99.20588774341353
Jan-25,AREA1,REGIONAL10,NOP DUMAI,98.1217950819672
Jan-25,AREA1,REGIONAL10,NOP PADANG,99.00065693430658
Jan-25,AREA1,REGIONAL10,NOP PEKANBARU,98.42971393034827
Jan-25,AREA1,REGIONAL2,NOP BENGKULU,98.37961849710982
Jan-25,AREA1,REGIONAL2,NOP JAMBI,98.22847222222222
Jan-25,AREA1,REGIONAL2,NOP LAMPUNG,99.4607731958763
Jan-25,AREA1,REGIONAL2,NOP MUARA ENIM,97.79924050632911
Jan-25,AREA1,REGIONAL2,NOP PALEMBANG,98.51824651504035
Jan-25,AREA1,REGIONAL2,NOP PANGKAL PINANG,99.51573853989812
Jan-25,AREA3,REGIONAL5,NOP MAGELANG,99.63687654320987
Jan-25,AREA3,REGIONAL5,NOP PEKALONGAN,99.5957991513437
Jan-25,AREA3,REGIONAL5,NOP PURWOKERTO,99.49427740058196
Jan-25,AREA3,REGIONAL5,NOP SEMARANG,99.68087029288702
Jan-25,AREA3,REGIONAL5,NOP SURAKARTA,99.69677902621723
Jan-25,AREA3,REGIONAL5,NOP YOGYAKARTA,99.68964056482669
Jan-25,AREA3,REGIONAL6,NOP JEMBER,99.621298828125
Jan-25,AREA3,REGIONAL6,NOP KEDIRI,99.85709677419355
Jan-25,AREA3,REGIONAL6,NOP LAMONGAN,99.7933
Jan-25,AREA3,REGIONAL6,NOP MADIUN,99.78807780320366
Jan-25,AREA3,REGIONAL6,NOP MALANG,99.78339111592632
Jan-25,AREA3,REGIONAL6,NOP SIDOARJO,99.6888502994012
Jan-25,AREA3,REGIONAL6,NOP SURABAYA,99.59712260216847
Jan-25,AREA3,REGIONAL7,NOP DENPASAR,99.67972530683811
Jan-25,AREA3,REGIONAL7,NOP FLORES,96.41718562874252
Jan-25,AREA3,REGIONAL7,NOP KUPANG,96.45045558086561
Jan-25,AREA3,REGIONAL7,NOP MATARAM,99.2813986599665
Feb-25,AREA1,REGIONAL1,NOP ACEH,98.62388286334055
Feb-25,AREA1,REGIONAL1,NOP BINJAI,99.26795620437956
Feb-25,AREA1,REGIONAL1,NOP MEDAN,99.4273903966597
