Month,area,regional,Availability (Ave)
Jan-25,AREA1,REGIONAL1,98.92875684128225
Jan-25,AREA1,REGIONAL10,98.36381776845052
Jan-25,AREA1,REGIONAL2,98.68858323317308
Jan-25,AREA3,REGIONAL5,99.6335831842576
Jan-25,AREA3,REGIONAL6,99.72261706715958
Jan-25,AREA3,REGIONAL7,98.44623230734666
Feb-25,AREA1,REGIONAL1,98.76322610868206
Feb-25,AREA1,REGIONAL10,98.4460967516591
Feb-25,AREA1,REGIONAL2,98.47093853073464
Feb-25,AREA3,REGIONAL5,99.63501341441602
Feb-25,AREA3,REGIONAL6,99.6338832565284
Feb-25,AREA3,REGIONAL7,98.12879515369082
Mar-25,AREA1,REGIONAL1,99.01456531918214
Mar-25,AREA1,REGIONAL10,98.49022152450723
Mar-25,AREA1,REGIONAL2,98.60857421289354
Mar-25,AREA3,REGIONAL5,99.6742839263365
Mar-25,AREA3,REGIONAL6,99.7269681177192
Mar-25,AREA3,REGIONAL7,98.95207352611523
Apr-25,AREA1,REGIONAL1,98.98398688729317
Apr-25,AREA1,REGIONAL10,98.44808562478245
Apr-25,AREA1,REGIONAL2,98.60865937687238
Apr-25,AREA3,REGIONAL5,99.74261343336906
Apr-25,AREA3,REGIONAL6,99.79031235645384
Apr-25,AREA3,REGIONAL7,99.22663528356871
May-25,AREA1,REGIONAL1,98.87670104703861
May-25,AREA1,REGIONAL10,98.29876
May-25,AREA1,REGIONAL2,98.605903849034
May-25,AREA3,REGIONAL5,99.70554225477936
May-25,AREA3,REGIONAL6,99.75214143578754
May-25,AREA3,REGIONAL7,98.92953670546105
Jun-25,AREA1,REGIONAL1,98.96770215423041
Jun-25,AREA1,REGIONAL10,98.78660928534168
Jun-25,AREA1,REGIONAL2,99.12442549371634
Jun-25,AREA3,REGIONAL5,99.7955710206995
Jun-25,AREA3,REGIONAL6,99.84256566890653
Jun-25,AREA3,REGIONAL7,99.27709403618495
