Month,area,regional,networksite,site_id,Availability (Ave),site_class,target (%),Achievement
Jan-25,AREA1,REGIONAL1,NOP ACEH,BIR001,100.0,Bronze,96.54,Achieved
Jan-25,AREA1,REGIONAL1,NOP ACEH,BIR002,100.0,Bronze,96.54,Achieved
Jan-25,AREA1,REGIONAL1,NOP ACEH,BIR004,99.99,Silver,98.54,Achieved
Jan-25,AREA1,REGIONAL1,NOP ACEH,BIR005,100.0,Gold,99.02,Achieved
Jan-25,AREA1,REGIONAL1,NOP ACEH,BIR008,99.97,Bronze,96.54,Achieved
Jan-25,AREA1,REGIONAL1,NOP ACEH,BIR009,99.39,Bronze,96.54,Achieved
Jan-25,AREA1,REGIONAL1,NOP ACEH,BIR010,100.0,Diamond,99.85,Achieved
Jan-25,AREA1,REGIONAL1,NOP ACEH,BIR054,99.99,Platinum,99.45,Achieved
Jan-25,AREA1,REGIONAL1,NOP ACEH,BIR071,100.0,Gold,99.02,Achieved
Jan-25,AREA1,REGIONAL1,NOP ACEH,BIR073,100.0,Platinum,99.45,Achieved
Jan-25,AREA1,REGIONAL1,NOP ACEH,BIR085,100.0,Gold,99.02,Achieved
Jan-25,AREA1,REGIONAL1,NOP ACEH,BIR087,97.82,Bronze,96.54,Achieved
Jan-25,AREA1,REGIONAL1,NOP ACEH,BIR088,96.77,Silver,98.54,Not Achieved
Jan-25,AREA1,REGIONAL1,NOP ACEH,BIR089,99.97,Silver,98.54,Achieved
Jan-25,AREA1,REGIONAL1,NOP ACEH,BIR095,100.0,Platinum,99.45,Achieved
Jan-25,AREA1,REGIONAL1,NOP ACEH,BIR096,99.63,Silver,98.54,Achieved
Jan-25,AREA1,REGIONAL1,NOP ACEH,BIR098,99.61,Silver,98.54,Achieved
Jan-25,AREA1,REGIONAL1,NOP ACEH,BIR100,99.99,Gold,99.02,Achieved
Jan-25,AREA1,REGIONAL1,NOP ACEH,BIR108,99.23,Gold,99.02,Achieved
Jan-25,AREA1,REGIONAL1,NOP ACEH,BIR109,100.0,Gold,99.02,Achieved
Jan-25,AREA1,REGIONAL1,NOP ACEH,BIR111,0.0,Gold,99.02,Not Achieved
Jan-25,AREA1,REGIONAL1,NOP ACEH,BIR112,100.0,Platinum,99.45,Achieved
Jan-25,AREA1,REGIONAL1,NOP ACEH,BIR113,100.0,Silver,98.54,Achieved
Jan-25,AREA1,REGIONAL1,NOP ACEH,BIR115,50.0,Gold,99.02,Not Achieved
